Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;234.689.601;0,368
ALSO3;ALIANSCSONAE;ON      NM;532.365.440;0,599
ALPA4;ALPARGATAS;PN      N1;202.765.994;0,106
ABEV3;AMBEV S/A;ON;4.386.652.506;3,173
ARZZ3;AREZZO CO;ON      NM;60.758.326;0,219
ASAI3;ASSAI;ON      NM;1.190.824.431;0,755
AZUL4;AZUL;PN      N2;327.646.296;0,336
B3SA3;B3;ON      NM;5.733.398.051;4,062
BBSE3;BBSEGURIDADE;ON      NM;671.682.536;0,973
BBDC3;BRADESCO;ON      N1;1.500.631.902;1,066
BBDC4;BRADESCO;PN      N1;5.146.612.491;4,25
BRAP4;BRADESPAR;PN      N1;251.008.334;0,285
BBAS3;BRASIL;ON  EJ  NM;1.420.731.069;3,428
BRKM5;BRASKEM;PNA     N1;265.212.486;0,393
BRFS3;BRF SA;ON      NM;1.076.512.610;0,477
BPAC11;BTGP BANCO;UNT     N2;1.225.470.424;1,755
CRFB3;CARREFOUR BR;ON  EJ  NM;528.743.156;0,28
CCRO3;CCR SA;ON      NM;998.462.635;0,678
CMIG4;CEMIG;PN      N1;1.442.098.974;0,865
CIEL3;CIELO;ON      NM;1.095.401.258;0,242
COGN3;COGNA ON;ON      NM;1.815.524.541;0,29
CPLE6;COPEL;PNB     N2;1.563.365.506;0,586
CSAN3;COSAN;ON      NM;1.171.063.698;0,999
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,286
CMIN3;CSNMINERACAO;ON      N2;1.110.550.596;0,241
CVCB3;CVC BRASIL;ON      NM;275.967.676;0,056
CYRE3;CYRELA REALT;ON      NM;274.142.301;0,255
DXCO3;DEXCO;ON      NM;274.863.424;0,123
ELET3;ELETROBRAS;ON      N1;2.019.004.498;3,808
ELET6;ELETROBRAS;PNB     N1;275.526.814;0,584
EMBR3;EMBRAER;ON      NM;734.632.205;0,71
ENBR3;ENERGIAS BR;ON      NM;246.028.184;0,276
ENGI11;ENERGISA;UNT     N2;248.477.689;0,536
ENEV3;ENEVA;ON      NM;1.577.877.205;0,911
EGIE3;ENGIE BRASIL;ON      NM;255.208.461;0,55
EQTL3;EQUATORIAL;ON      NM;1.115.920.673;1,634
EZTC3;EZTEC;ON      NM;94.318.339;0,084
FLRY3;FLEURY;ON  EB  NM;422.811.447;0,315
GGBR4;GERDAU;PN      N1;1.093.112.629;1,373
GOAU4;GERDAU MET;PN      N1;667.194.478;0,393
GOLL4;GOL;PN      N2;218.221.868;0,122
NTCO3;GRUPO NATURA;ON      NM;838.904.847;0,645
SOMA3;GRUPO SOMA;ON      NM;490.736.222;0,277
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,886
HYPE3;HYPERA;ON      NM;400.842.480;0,87
IGTI11;IGUATEMI S.A;UNT     N1;215.741.055;0,227
IRBR3;IRBBRASIL RE;ON      NM;81.445.253;0,152
ITSA4;ITAUSA;PN      N1;5.014.245.900;2,345
ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.801.630.041;6,623
JBSS3;JBS;ON      NM;1.134.986.483;1,009
KLBN11;KLABIN S/A;UNT     N2;701.899.756;0,771
RENT3;LOCALIZA;ON      NM;773.535.098;2,504
LWSA3;LOCAWEB;ON      NM;430.758.874;0,196
LREN3;LOJAS RENNER;ON      NM;950.702.967;0,946
MGLU3;MAGAZ LUIZA;ON      NM;2.874.188.573;0,513
MRFG3;MARFRIG;ON      NM;292.587.273;0,105
CASH3;MELIUZ;ON      NM;69.155.277;0,029
BEEF3;MINERVA;ON      NM;260.340.982;0,142
MRVE3;MRV;ON      NM;305.322.465;0,172
MULT3;MULTIPLAN;ON      N2;266.933.994;0,339
PCAR3;P.ACUCAR-CBD;ON      NM;157.889.627;0,134
PETR3;PETROBRAS;ON  EDJ N2;2.990.884.064;4,899
PETR4;PETROBRAS;PN  EDJ N2;4.566.511.125;6,65
PRIO3;PETRORIO;ON      NM;839.159.130;1,449
PETZ3;PETZ;ON      NM;335.865.260;0,116
RADL3;RAIADROGASIL;ON      NM;1.163.955.366;1,593
RAIZ4;RAIZEN;PN      N2;1.200.488.532;0,228
RDOR3;REDE D OR;ON      NM;1.095.177.074;1,754
RAIL3;RUMO S.A.;ON      NM;1.215.642.613;1,288
SBSP3;SABESP;ON      NM;340.002.999;0,889
SANB11;SANTANDER BR;UNT;355.642.848;0,527
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,257
CSNA3;SID NACIONAL;ON;589.695.175;0,379
SLCE3;SLC AGRICOLA;ON      NM;105.899.222;0,186
SUZB3;SUZANO S.A.;ON      NM;726.823.001;1,66
TAEE11;TAESA;UNT     N2;218.568.234;0,396
VIVT3;TELEF BRASIL;ON;423.091.712;0,875
TIMS3;TIM;ON      NM;808.436.195;0,577
TOTS3;TOTVS;ON      NM;513.869.896;0,738
UGPA3;ULTRAPAR;ON      NM;1.087.887.681;0,933
USIM5;USIMINAS;PNA     N1;515.014.562;0,185
VALE3;VALE;ON      NM;4.035.078.991;13,406
VIIA3;VIA;ON      NM;1.576.975.642;0,194
VBBR3;VIBRA;ON      NM;1.114.442.976;0,952
WEGE3;WEG;ON      NM;1.260.665.218;2,273
YDUQ3;YDUQS PART;ON      NM;296.015.511;0,269
